name,category,reason,query,symbol,hit_name,hit_type,rows,first,last,currency,yahoo_name,status
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,GLOBAL,no-data,,,,,0,,,,,no-data
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,GLOBAL,no-data,,,,,0,,,,,no-data
JPMORGAN IF GLOBAL INCOME C DIS HDG USD,GLOBAL,no-data,,,,,0,,,,,no-data
JSS EMERGINGSAR GLOBAL A DIST USD,GLOBAL,no-data,,,,,0,,,,,no-data
JUPITER GLOBAL FUND EUROPEAN GTH L ACC USD USD,GLOBAL,no-data,JUPITER GLOBAL,0P0001ME78,Jupiter Global Equity Growth Un,Fund,1113,1646749800,1786627800,USD,Jupiter Global Equity Gr Unc A USD Acc,recovered
JUPITER GLOBAL INDIA SEL L USD USD,GLOBAL,no-data,JUPITER GLOBAL,0P0001ME78,Jupiter Global Equity Growth Un,Fund,1113,1646749800,1786627800,USD,Jupiter Global Equity Gr Unc A USD Acc,recovered
KYTE BBVA 6Y GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
KYTE BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX AC USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
LEVERAGE VANILLA GLOBAL BALANCED INVESTMENT ETP USD,GLOBAL,no-data,,,,,0,,,,,no-data
M&G INVESTMENT MAN GLOBAL THEMES A USD ACC USD,GLOBAL,no-data,M&G INVESTMENT,AN06.F,M&G(L)-Sust.Paris Aligned     A,ETF,1,1786688138,1786688138,EUR,M&G Investment Funds (1) - M&G Global Sustain Paris Aligned Fund,recovered
M&G SECURITIES GLOBAL DIVIDEND A ACC USD,GLOBAL,no-data,M&G SECURITIES,MFGSX,MFS Government Securities Trust,Fund,10595,459610200,1786627800,USD,MFS Government Securities A,recovered
MARIANA BBVA GLOBAL MARKETS MEMORY INCOME GENERATOR 8560 USD,GLOBAL,no-data,,,,,0,,,,,no-data
MARIANA GLOBAL GROWTH KICK OUT NOTE V2 USD,GLOBAL,no-data,,,,,0,,,,,no-data
MARIANA GLOBAL MARKETS AUTOCALL NOTE USD,GLOBAL,no-data,,,,,0,,,,,no-data
MARIANA INVESTEC GLOBAL INDEX INCOME BUILDER 65 USD,GLOBAL,no-data,,,,,0,,,,,no-data
MARKET SEC BBVA 6Y 6% GLOBAL MARKETS QUARTERLY PHOENIX AUTO USD USD,GLOBAL,no-data,MARKET SEC,SGLDN.MX,INVESCO PHYSICAL MARKETS SECURE,ETF,1,1786547773,1786547773,MXN,INVESCO PHYSICAL MARKETS SECURE,recovered
MARKET SEC BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX USD,GLOBAL,no-data,MARKET SEC,SGLDN.MX,INVESCO PHYSICAL MARKETS SECURE,ETF,1,1786547773,1786547773,MXN,INVESCO PHYSICAL MARKETS SECURE,recovered
MARKET SEC BNP GLOBAL MARKETS AC USD USD,GLOBAL,no-data,MARKET SEC,SGLDN.MX,INVESCO PHYSICAL MARKETS SECURE,ETF,1,1786547773,1786547773,MXN,INVESCO PHYSICAL MARKETS SECURE,recovered
MOMENTUM GF HARMONY GLOBAL EQUITY FUND A ACC USD,GLOBAL,no-data,MOMENTUM GF,0P0001JAD6,Momentum Global Funds Global Eq,Fund,1114,1646663400,1786627800,USD,Momentum GF Global Equity A USD Acc,recovered
MONTLAKE ORIEL LATITUDE GLOBAL FUNDS I USD ACC USD,GLOBAL,no-data,MONTLAKE ORIEL,0P0001PDNP,DMS UCITS Platform ICAV - CIFC ,Fund,1156,1641306600,1786627800,USD,MontLake Oriel UCITS Platform ICAV - CIFC Global Floating Rate Credit Fund,recovered
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,INTERNATIONAL,no-data,,,,,0,,,,,no-data
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,INTERNATIONAL,no-data,,,,,0,,,,,no-data
NATIXIS IDAD GLOBAL MARKETS DEFENSIVE AUTOCALL FEBRUARY 2026 USD,GLOBAL,no-data,,,,,0,,,,,no-data
NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,GLOBAL,no-data,,,,,0,,,,,no-data
NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD,GLOBAL,no-data,,,,,0,,,,,no-data
NEXT GEN INVT STRA MORNINGSTAR GLOBAL ADVENTUROUS A USD ACC USD,GLOBAL,no-data,NEXT GEN,0P0001L3LH,Redwheel Next Generation Emergi,Fund,1113,1646749800,1786627800,USD,Redwheel Next Gen Em Mkts Eq JA USD Acc,recovered
NEXT GEN INVT STRA MORNINGSTAR GLOBAL BALANCED A USD ACC USD,GLOBAL,no-data,NEXT GEN,0P0001L3LH,Redwheel Next Generation Emergi,Fund,1113,1646749800,1786627800,USD,Redwheel Next Gen Em Mkts Eq JA USD Acc,recovered
NEXT GEN INVT STRA MORNINGSTAR GLOBAL CAUTIOUS A USD ACC USD,GLOBAL,no-data,NEXT GEN,0P0001L3LH,Redwheel Next Generation Emergi,Fund,1113,1646749800,1786627800,USD,Redwheel Next Gen Em Mkts Eq JA USD Acc,recovered
NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD,GLOBAL,no-data,,,,,0,,,,,no-data
NG MORNINGSTAR GLOBAL GROWTH A USD ACC USD,GLOBAL,no-data,,,,,0,,,,,no-data
NINETY ONE FD MGRS GLOBAL GOLD A USD ACC USD,GLOBAL,no-data,NINETY ONE,0P000023OZ,Ninety One Global Strategic Equ,Fund,1914,1546439400,1786627800,USD,Ninety One Global Strategic Eq A Acc USD,recovered
NINETY ONE PIF GLOBAL MACRO ALLOCATION FUND A ACC USD,GLOBAL,no-data,NINETY ONE,0P000023OZ,Ninety One Global Strategic Equ,Fund,1914,1546439400,1786627800,USD,Ninety One Global Strategic Eq A Acc USD,recovered
PICTET FUNDS GLOBAL MEGATREND SEL I USD ACC USD,GLOBAL,no-data,PICTET FUNDS,PBFP.SG,Pictet Funds Indian Equities,Fund,0,,,EUR,Pictet Funds Indian Equities,no-data
PICTET FUNDS GLOBAL MEGATREND SELECTION P ACC USD USD,GLOBAL,no-data,PICTET FUNDS,PBFP.SG,Pictet Funds Indian Equities,Fund,0,,,EUR,Pictet Funds Indian Equities,no-data
PIMCO GLOBAL ADVIS LOW DURATION REAL RTN INSTL USD,GLOBAL,no-data,PIMCO GLOBAL,PSAIX,PIMCO Global Advantage Strategy,Fund,4406,1233930600,1786627800,USD,PIMCO Global Advantage Strategy Bd Instl,recovered
PIMCOG GLOBAL ADVIS INCOME PU INC USD,GLOBAL,no-data,,,,,0,,,,,no-data
PROSPER FDS SICAV GLOBAL MACRO I USD,GLOBAL,no-data,,,,,0,,,,,no-data
ROCQ CAPITAL BBVA 6Y GLOBAL MARKET IDX USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
RUSSELL OLD MUTUAL VALUE GLOBAL EQUITY E ACC USD,GLOBAL,no-data,,,,,0,,,,,no-data
RUSSELL OPENWORLD GLOBAL HIGH DIVIDEND EQUITY I USD,GLOBAL,no-data,,,,,0,,,,,no-data
SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,GLOBAL,no-data,SANDS CAPITAL GLOBAL,0P0000TXTI,Sands Capital Global Growth Fun,Fund,1914,1546439400,1786627800,USD,Sands Capital Global Growth A USD Acc,recovered
SCHRODER INV MGMT GLOBAL CLIMATE CHANGE EQUITY A ACC USD USD,GLOBAL,no-data,SCHRODER INV,0P0001H0VH,Schroder Investment Fund Flexib,Fund,1119,1646058600,1786627800,USD,Schroder Invmt Fd FlexCatBd C Acc USD,recovered
SCHRODER INV MGMT GLOBAL HIGH YLD A USD ACC NAV USD,GLOBAL,no-data,SCHRODER INV,0P000161ZL,Schroder Investment Fund Flexib,Fund,1119,1646058600,1786627800,USD,Schroder Invmt Fd FlexCatBd IF Acc USD,recovered
SCHRODER INV MGMT ISF GLOBAL REC C USD ACC USD,GLOBAL,no-data,SCHRODER INV,0P0001H0VH,Schroder Investment Fund Flexib,Fund,1119,1646058600,1786627800,USD,Schroder Invmt Fd FlexCatBd C Acc USD,recovered
SCHRODER INV MGMT QEP GLOBAL ACTIVE VAL A ACC USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
SCHRODER INV MGMT QEP GLOBAL CORE C ACC USD,GLOBAL,no-data,SCHRODER INV,0P0001H0VH,Schroder Investment Fund Flexib,Fund,1119,1646058600,1786627800,USD,Schroder Invmt Fd FlexCatBd C Acc USD,recovered
THREADNEEDLE LATIN AMERICAN NAV ACC USD,AMERICAN,no-data,,,,,0,,,,,no-data
TITAN INTERNATIONAL SATELLITE EQUITY USD ACC USD,INTERNATIONAL,no-data,TITAN INTERNATIONAL,TZ4.SG,Titan International Inc.,Equity,3067,1405922400,1786687200,EUR,Titan International Inc,recovered
UBS GLOBAL MARKETS QUARTERLY PHOENIX AUTOCALL WITH MEM USD USD,GLOBAL,no-data,UBS GLOBAL,GENDED.SW,UBSETF GlGend USD D,ETF,1835,1556262000,1786690800,CHF,UBS Global Gender Equality UCITS ETF USD dis,recovered
UNILEVER SHS SPONSORED AMERICAN DEPOSITARY SHARES REPR 1 SH USD,AMERICAN,no-data,,,,,0,,,,,no-data
VANGUARD WHITEHALL INTERNATIONAL HIGH DIV YIEL USD,INTERNATIONAL,no-data,VANGUARD WHITEHALL,^VIGI,VANGUARD WHITEHALL,ETF,1,1786655699,1786655699,USD,VANGUARD WHITEHALL,recovered
VONTOBEL MGMT SA MIV GLOBAL MEDTECH P3 USD R USD,GLOBAL,no-data,,,,,0,,,,,no-data
VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD,GLOBAL,no-data,,,,,0,,,,,no-data
WISDOMTREE ISSUER GLOBAL DEV QUALITY DIV UCIT USD,GLOBAL,no-data,WISDOMTREE GLOBAL,GGRGL.XC,WisdomTree Global Quality Divid,ETF,946,1668585600,1786690800,GBp,WisdomTree Global Quality Divid,recovered
ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,GLOBAL,wrong,ALLIANZ GLOBAL INV,0P0001OZ17,Allianz Global Investors Fund -,Fund,1067,1652362200,1786627800,USD,Allianz Emerging Mkts Sov Bd AT USD,recovered
ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,GLOBAL,wrong,ARTEMIS SMARTGARP GLOBAL,0P0001JG43.L,0P0001JG43.L,Fund,3189,1388649600,1786690800,GBP,Artemis SmartGARP Global Equity Fund,recovered
AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,GLOBAL,wrong,AXA WORLD,0P0001HUX0.SW,0P0001HUX0.SW,Fund,1114,1646640000,1786690800,CHF,AXA World Funds - Robotech,recovered
CS INVEST FUNDS 2 CS GLOBAL BI IN ACC USD,GLOBAL,wrong,CS INVEST FUNDS,0P0001CBI5,CS Investment Funds 2 - Credit ,Fund,1114,1646663400,1786627800,USD,UBS Lux Dgtl Hlth Eq Fd I B acc,recovered
FIDELITY GLOBAL INCOME Y MINCOME INC USD,GLOBAL,wrong,FIDELITY GLOBAL INCOME,0P0001O8K1,Fidelity Funds - Global Income ,Fund,1114,1646663400,1786627800,USD,Fidelity Global Income Y-MInc(G)-USD,recovered
