name,category,isin_cur,expected_cur,symbol,symbol_currency,symbol_type,yahoo_longname,cur_symbol_old,n_cands,status
NINETY ONE GLOBAL ST GBL MULTI AST INC I USD DIS USD,GLOBAL,LU1602119031:USD,USD,0P0001AO48,PNK,Fund,,0P0001RBUZ,1,SYMBOL_FOUND
NINETY ONE GLOBAL STRATEGY FUND GLOBAL NATURAL RESOURCES FUND I ACC USD,GLOBAL,LU0345781172:USD,USD,0P00009X5L,PNK,Fund,,0P00009X5L,1,SYMBOL_FOUND
NINETY-ONE GLOBAL ST GLOBAL VALUE EQTY A USD ACC USD,GLOBAL,LU1821900393:USD,USD,0P0001DHC1,PNK,Fund,,0P00000R8P,1,SYMBOL_FOUND
NINETY-ONE GS GLOBAL EQUITY A INC USD,GLOBAL,LU0345769987:USD,USD,0P00009NG8,PNK,Fund,,0P00000R8Y,1,SYMBOL_FOUND
PIMCO GIS GLOBAL HIGH YIELD E INC USD USD,GLOBAL,IE0002420739:USD,USD,IE0002420739-USD.LU,LUX,Fund,,0P00006D1H,1,SYMBOL_FOUND
PIMCO GIS GLOBAL INVESTMENT GRADE CREDIT E USD INC USD,GLOBAL,IE0033386453:USD,USD,0P00000WBD,PNK,Fund,,0P00000WBD,1,SYMBOL_FOUND
PINEBRIDGE GLOBAL DYNAMIC ASSET ALLOCATION Y USD ACC USD,GLOBAL,IE0034235295:USD,USD,0P000019NH,PNK,Fund,,0P00000RKU,1,SYMBOL_FOUND
PINEBRIDGE GLOBAL EMERGING MARKETS FOCUS EQUITY Y USD ACC USD,GLOBAL,IE0004897173:USD,USD,0P00000RRD,PNK,Fund,,0P00000RRD,1,SYMBOL_FOUND
ROBECO GLOBAL CONSUMER TRENDS EQUITIES CID USD USD,GLOBAL,LU0554840073:USD,USD,,,,,XRQ3.F,0,NO_SYMBOL
SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,GLOBAL,LU0990495888:USD,USD,,,,,,0,NO_SYMBOL
Schroder Int Sel Global Energy A Acc USD,GLOBAL,LU0256331488:USD,USD,,,,,0P000019EE,0,NO_SYMBOL
SCHRODER INT SEL GLOBAL EQUITY A USD ACC USD,GLOBAL,LU0215105999:USD,USD,ZJPC.F,FRA,ETF,,ZJPC.F,1,SYMBOL_FOUND
Schroder Int Sel Global Equity Alpha A USD Acc USD,GLOBAL,LU0225283273:USD,USD,HV8M.MU,MUN,ETF,,HV8M.MU,1,SYMBOL_FOUND
SCHRODER INTERNATIONAL SELECTION FUND EMERGING MARKETS DEBT TOTAL RETURN A ACC USD,INTERNATIONAL,LU0106253197:USD,USD,HV8C.F,FRA,ETF,,HV8C.F,1,SYMBOL_FOUND
SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,GLOBAL/INTERNATIONAL,LU0189893018:USD,USD,0P00000TCU,PNK,Fund,,0P0001ADKP,1,SYMBOL_FOUND
SCHRODER ISF GLOBAL EQUITY ALPHA C ACC USD,GLOBAL,LU0225283786:USD,USD,0P00001CEH,PNK,Fund,,0P00001CEH,1,SYMBOL_FOUND
SCHRODER ISF GLOBAL HIGH YIELD C ACC USD,GLOBAL,LU0189893794:USD,USD,SRVT.F,FRA,ETF,,SRVT.F,1,SYMBOL_FOUND
SCHRODER ISF GLOBAL M.A DIS USD A HDG MF USD,GLOBAL,LU1514167136:USD,USD,0P00019BR5,PNK,Fund,,0P00009BZQ,1,SYMBOL_FOUND
SCHRODER ISF GLOBAL MULTI ASSET BALANCED C ACC USD,GLOBAL,LU0776415563:USD,USD,0P0000WFLZ,PNK,Fund,,0P0000WFLZ,1,SYMBOL_FOUND
T ROWE GLOBAL FOCUSED GROWTH EQUITY Q USD USD,GLOBAL,LU0143551892:USD,USD,TRIA.MU,MUN,ETF,,0P0001EVSL,1,SYMBOL_FOUND
T.ROWE PRICE GLOBAL HI YLD BD A USD USD,GLOBAL,LU2168316169:USD,USD,0P0001JT7G,PNK,Fund,,TRGRX,1,SYMBOL_FOUND
