name,category,isin_cur,expected_cur,symbol,symbol_currency,symbol_type,yahoo_longname,cur_symbol_old,n_cands,status,real_cur,real_type,yahoo_longname2,usable
SCHRODER INT SEL GLOBAL EQUITY A USD ACC USD,GLOBAL,LU0215105999:USD,USD,ZJPC.F,FRA,ETF,,ZJPC.F,1,SYMBOL_FOUND,EUR,ETF,Schroder International Selection Fund SICAV- Global Equity,CUR_MISMATCH
Schroder Int Sel Global Equity Alpha A USD Acc USD,GLOBAL,LU0225283273:USD,USD,HV8M.MU,MUN,ETF,,HV8M.MU,1,SYMBOL_FOUND,EUR,ETF,Schroder International Selection Fund SICAV - Global Equity Alpha Fund,CUR_MISMATCH
SCHRODER INTERNATIONAL SELECTION FUND EMERGING MARKETS DEBT TOTAL RETURN A ACC USD,INTERNATIONAL,LU0106253197:USD,USD,HV8C.F,FRA,ETF,,HV8C.F,1,SYMBOL_FOUND,EUR,ETF,Schroder ISF-EM Dbt Tot.Rtn   N,CUR_MISMATCH
SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,GLOBAL/INTERNATIONAL,LU0189893018:USD,USD,0P00000TCU,PNK,Fund,,0P0001ADKP,1,SYMBOL_FOUND,USD,MUTUALFUND,Schroder ISF Glbl High Yld A Acc USD,OK
SCHRODER ISF GLOBAL EQUITY ALPHA C ACC USD,GLOBAL,LU0225283786:USD,USD,0P00001CEH,PNK,Fund,,0P00001CEH,1,SYMBOL_FOUND,USD,MUTUALFUND,Schroder ISF Global Eq Alp C Acc USD,OK
SCHRODER ISF GLOBAL HIGH YIELD C ACC USD,GLOBAL,LU0189893794:USD,USD,SRVT.F,FRA,ETF,,SRVT.F,1,SYMBOL_FOUND,EUR,ETF,Schroder International Selection Fund SICAV - Global High Yield,CUR_MISMATCH
SCHRODER ISF GLOBAL M.A DIS USD A HDG MF USD,GLOBAL,LU1514167136:USD,USD,0P00019BR5,PNK,Fund,,0P00009BZQ,1,SYMBOL_FOUND,USD,MUTUALFUND,Schroder ISF Glb Crdt Inc A Dis $ MF,OK
SCHRODER ISF GLOBAL MULTI ASSET BALANCED C ACC USD,GLOBAL,LU0776415563:USD,USD,0P0000WFLZ,PNK,Fund,,0P0000WFLZ,1,SYMBOL_FOUND,USD,MUTUALFUND,Schroder ISF Glbl MA Bal C Acc USD H,OK
T ROWE GLOBAL FOCUSED GROWTH EQUITY Q USD USD,GLOBAL,LU0143551892:USD,USD,TRIA.MU,MUN,ETF,,0P0001EVSL,1,SYMBOL_FOUND,EUR,ETF,T. Rowe Price Funds SICAV - Global Focused Growth Equity Fund,CUR_MISMATCH
T.ROWE PRICE GLOBAL HI YLD BD A USD USD,GLOBAL,LU2168316169:USD,USD,0P0001JT7G,PNK,Fund,,TRGRX,1,SYMBOL_FOUND,USD,MUTUALFUND,T. Rowe Price Global High Inc Bd S,OK
