name,category,isin,ft_name,yahoo_symbol
PINEBRIDGE GLOBAL EMERGING MARKETS FOCUS EQUITY Y USD ACC USD,GLOBAL,IE0004897173,PineBridge Global Emerging Markets Focus Equity Fund Y,0P00000RRD
Schroder Int Sel Global Energy A Acc USD,GLOBAL,LU0256331488,Schroder International Selection Fund Global Energy A Accumulation USD,0P000019EE
SCHRODER INT SEL GLOBAL EQUITY A USD ACC USD,GLOBAL,LU0215105999,Schroder International Selection Fund Global Equity A Accumulation USD,ZJPC.F
Schroder Int Sel Global Equity Alpha A USD Acc USD,GLOBAL,LU0225283273,Schroder International Selection Fund Global Equity Alpha A Accumulation USD,HV8M.MU
SCHRODER INTERNATIONAL SELECTION FUND EMERGING MARKETS DEBT TOTAL RETURN A ACC USD,INTERNATIONAL,LU0106253197,Schroder International Selection Fund Emerging Markets Debt Total Return A Accumulation USD,HV8C.F
SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,GLOBAL/INTERNATIONAL,LU1586378470,Schroder International Selection Fund Global High Yield C Distribution USD MF,0P0001ADKP
SCHRODER ISF GLOBAL CITIES A ACC USD,GLOBAL,LU0224508324,Schroder International Selection Fund Global Cities A Accumulation USD,0P00001E4P
SCHRODER ISF GLOBAL EQUITY ALPHA C ACC USD,GLOBAL,LU0225283786,Schroder International Selection Fund Global Equity Alpha C Accumulation USD,0P00001CEH
SCHRODER ISF GLOBAL HIGH YIELD C ACC USD,GLOBAL,LU0189893794,Schroder International Selection Fund Global High Yield C Accumulation USD,SRVT.F
SCHRODER ISF GLOBAL M.A DIS USD A HDG MF USD,GLOBAL,LU0306807586,Schroder International Selection Fund Global Dividend Maximiser A Distribution USD QF,0P00009BZQ
SCHRODER ISF GLOBAL MULTI ASSET BALANCED C ACC USD,GLOBAL,LU0776415563,Schroder International Selection Fund Global Multi-Asset Balanced C Accumulation USD Hedged,0P0000WFLZ
T ROWE GLOBAL FOCUSED GROWTH EQUITY Q USD USD,GLOBAL,LU1892523231,T. Rowe Price Funds SICAV - Global Focused Growth Equity Fund Q,0P0001EVSL
UBAM GLOBAL EQUITY IC ACC USD,GLOBAL,LU1808465147,UBAM - Tech Global Leaders Equity IC USD,0P0001DZRW
UBAM TECH GLOBAL LEADERS EQUITY IC USD ACC USD,GLOBAL,LU1808465147,UBAM - Tech Global Leaders Equity IC USD,0P0001DZRW
VONTOBEL FUND II DUFF & PHELPS GLOBAL LISTED INFRASTRUCTURE B ACC USD,GLOBAL,LU2167913123,Vontobel Fund II - Duff & Phelps Global Listed Infrastructure B USD Cap,0P0001K1Y4
