ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
UJPIX,3,True,0.15824913523469078,5533,0.5326224471353695,0.3538497568364656,394,0.5532994923857868,0.4279439397355478,1570,0.5751592356687898,1.093625946819615,151,0.6821192052980133,200,40
UJPSX,3,True,0.13576301229857013,5468,0.5299926847110461,0.38495789225913957,394,0.5558375634517766,0.3344844925030403,2404,0.5686356073211315,0.6848499829349795,210,0.6333333333333333,200,40
UKPIX,3,True,0.23563206900047554,699,0.5565092989985694,0.21963041257203963,166,0.5783132530120482,0.37485349544338165,329,0.5714285714285714,0.40906227346774593,93,0.6451612903225806,120,30
UKPSX,1,True,0.22841575999351438,742,0.5714285714285714,0.28772451629132373,185,0.6,0.3899149966596362,181,0.585635359116022,0.7678283507889103,40,0.6,120,30
ULPIX,3,True,0.11436823270423599,5415,0.5399815327793167,0.17157402389175092,392,0.5561224489795918,0.3735120292296378,1368,0.5701754385964912,0.3125016547512359,186,0.5698924731182796,200,40
ULPSX,3,True,0.10725714461168231,5137,0.5392252287327234,0.1645767015123405,392,0.5561224489795918,0.36190540126639503,1515,0.5815181518151815,0.36996534177931084,156,0.5833333333333334,200,40
UMPIX,3,True,0.12693969287786636,4993,0.542759863809333,0.06187277523203499,390,0.5102564102564102,0.42129272412838753,977,0.6274309109518935,0.8214193909075904,118,0.6694915254237288,200,40
UMPSX,3,True,0.1260988660773777,4922,0.5426655830963023,0.08623768648881927,388,0.5231958762886598,0.416755340165275,975,0.6246153846153846,0.8166872199935568,118,0.6694915254237288,200,40
UNPIX,3,True,0.11711326753663692,4407,0.5346040390288178,0.22885082533922152,390,0.5615384615384615,0.22502396323882162,2091,0.5504543280726925,0.472740974232956,136,0.5661764705882353,200,40
UNPSX,3,True,0.0836456636937783,4344,0.5313075506445673,0.19795595499777158,389,0.5732647814910026,0.3605455679248951,1242,0.5587761674718197,0.6287189410686549,110,0.5818181818181818,200,40
UOPIX,3,True,0.1357594131000589,5895,0.542832909245123,0.18258671464824242,394,0.5736040609137056,0.3993813799392408,1741,0.5726593911545089,0.5709011743934067,151,0.6026490066225165,200,40
UOPSX,3,True,0.11283786526323196,5855,0.5388556789069172,0.17737151617839592,394,0.5736040609137056,0.43086796128346627,1431,0.5779175401816912,0.7105560050784365,135,0.6148148148148148,200,40
USPIX,1,True,0.33113671646369675,315,0.5555555555555556,0.6343427643851861,121,0.6115702479338843,0.49747529425272285,136,0.5661764705882353,0.6852998567451373,61,0.5901639344262295,120,30
USPSX,1,True,0.35648255614878716,242,0.5537190082644629,0.8793119539559011,83,0.6506024096385542,0.48663813708408077,121,0.5537190082644629,0.9778102094410872,46,0.6739130434782609,120,30
UTPIX,1,True,0.10969783555505278,4075,0.545521472392638,0.15967208485615522,371,0.5768194070080862,0.3792684267341154,508,0.5826771653543307,0.5563531971108809,38,0.5789473684210527,120,30
UTPSX,3,True,0.10704625485899953,3909,0.5428498337170632,0.17200925286108967,363,0.581267217630854,0.355464920421093,762,0.5853018372703412,0.37778499634243073,84,0.5952380952380952,160,35
UUPIX,3,True,0.11745426451888152,4554,0.5215195432586737,0.16655405504256574,388,0.5257731958762887,0.26091634972710925,1905,0.5427821522309711,0.6816497629846605,153,0.5882352941176471,200,40
UUPSX,3,True,0.13199120137232934,4525,0.521767955801105,0.16177340343542,388,0.5154639175257731,0.2656996630326747,1907,0.5427372836916623,0.6776003101680813,153,0.5882352941176471,200,40
UVPIX,3,True,0.21203674545305803,1374,0.537117903930131,0.29745194763409644,200,0.53,0.3899147103200598,565,0.5663716814159292,0.611838551517602,87,0.5977011494252874,120,30
UVPSX,3,True,0.18682361613641155,1707,0.5459871118922085,0.18012207596200688,236,0.5127118644067796,0.3507437348517124,691,0.5658465991316932,0.403508073716835,105,0.5523809523809524,120,30
UWPSX,1,True,0.3913202202965446,128,0.5625,0.4397272093760715,41,0.5609756097560976,0.3913202202965446,128,0.5625,0.4397272093760715,41,0.5609756097560976,120,30
UXPSX,1,True,0.2260833878153247,200,0.57,0.2118936056471965,34,0.5882352941176471,0.2260833878153247,200,0.57,0.2118936056471965,34,0.5882352941176471,120,30
WCPIX,3,True,0.14357758566647918,4442,0.5529040972534894,0.05761751494688013,388,0.5489690721649485,0.3372658202284958,1198,0.6160267111853088,0.3793103037723001,116,0.6293103448275862,200,40
WCPSX,3,True,0.13198105163632756,4368,0.5480769230769231,0.09155682006276364,390,0.5538461538461539,0.3341297694777732,1200,0.6158333333333333,0.3744936814539527,116,0.6206896551724138,200,40
