ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit
UHPSX,3,True,0.13275514807991165,2503,0.5165801038753496,0.12837703451299468,370,0.5162162162162162,0.5264828643691389,574,0.5574912891986062,0.7874199545490956,127,0.5826771653543307
UIPIX,1,True,0.2475880152961724,125,0.552,0.2212616408887753,34,0.6764705882352942,0.2475880152961724,125,0.552,0.2212616408887753,34,0.6764705882352942
UIPSX,2,True,0.2768327444317929,243,0.551440329218107,0.3329134018053006,65,0.6307692307692307,0.2768327444317929,243,0.551440329218107,0.3329134018053006,65,0.6307692307692307
UJPIX,3,True,0.15824913523469078,5533,0.5326224471353695,0.3538497568364656,394,0.5532994923857868,0.39698848319737134,1690,0.565680473372781,0.9184798613529166,147,0.6462585034013606
UJPSX,3,True,0.13576301229857013,5468,0.5299926847110461,0.38495789225913957,394,0.5558375634517766,0.368248765957247,1679,0.5658129839189994,0.9715289411089958,117,0.6581196581196581
UKPIX,3,True,0.23563206900047554,699,0.5565092989985694,0.21963041257203963,166,0.5783132530120482,0.2909642666377919,452,0.5597345132743363,0.4331609675911852,96,0.6145833333333334
UKPSX,3,True,0.22841575999351438,742,0.5714285714285714,0.28772451629132373,185,0.6,0.2797010343546585,540,0.5777777777777777,0.3577770334130988,132,0.6136363636363636
ULPIX,3,True,0.11436823270423599,5415,0.5399815327793167,0.17157402389175092,392,0.5561224489795918,0.4135798739464076,1082,0.5831792975970426,0.7568529454860826,75,0.6533333333333333
ULPSX,3,True,0.10725714461168231,5137,0.5392252287327234,0.1645767015123405,392,0.5561224489795918,0.42042279027698526,1016,0.5787401574803149,0.7521680734011925,75,0.6533333333333333
UMPIX,3,True,0.12693969287786636,4993,0.542759863809333,0.06187277523203499,390,0.5102564102564102,0.47466697903712846,570,0.5807017543859649,0.9750817401425036,74,0.6216216216216216
UMPSX,3,True,0.1260988660773777,4922,0.5426655830963023,0.08623768648881927,388,0.5231958762886598,0.4703408665721825,570,0.5789473684210527,0.9700131182889445,74,0.6216216216216216
UNPIX,3,True,0.11711326753663692,4407,0.5346040390288178,0.22885082533922152,390,0.5615384615384615,0.26100263870402035,1592,0.5452261306532663,0.5371168563022864,98,0.5918367346938775
UNPSX,3,True,0.0836456636937783,4344,0.5313075506445673,0.19795595499777158,389,0.5732647814910026,0.37107687479991686,637,0.5463108320251178,0.5197074746686762,49,0.6530612244897959
UOPIX,3,True,0.1357594131000589,5895,0.542832909245123,0.18258671464824242,394,0.5736040609137056,0.43478000504557046,1195,0.5740585774058578,0.5953632970597237,84,0.5714285714285714
UOPSX,3,True,0.11283786526323196,5855,0.5388556789069172,0.17737151617839592,394,0.5736040609137056,0.4804224282215772,1280,0.58359375,0.6003749794759393,98,0.5714285714285714
USPIX,3,True,0.33113671646369675,315,0.5555555555555556,0.6343427643851861,121,0.6115702479338843,0.33113671646369675,315,0.5555555555555556,0.6343427643851861,121,0.6115702479338843
USPSX,2,True,0.35648255614878716,242,0.5537190082644629,0.8793119539559011,83,0.6506024096385542,0.35648255614878716,242,0.5537190082644629,0.8793119539559011,83,0.6506024096385542
UTPIX,3,True,0.10969783555505278,4075,0.545521472392638,0.15967208485615522,371,0.5768194070080862,0.20958760704396445,1979,0.5674583122789287,0.2880851968635247,119,0.6050420168067226
UTPSX,3,True,0.10704625485899953,3909,0.5428498337170632,0.17200925286108967,363,0.581267217630854,0.2632966103694717,1501,0.5656229180546303,0.22756470541358875,80,0.5875
UUPIX,3,True,0.11745426451888152,4554,0.5215195432586737,0.16655405504256574,388,0.5257731958762887,0.4093638286847431,1510,0.5503311258278145,0.6669418149265499,104,0.5769230769230769
UUPSX,3,True,0.13199120137232934,4525,0.521767955801105,0.16177340343542,388,0.5154639175257731,0.4049370919368118,1510,0.5496688741721855,0.6619582298098293,104,0.5769230769230769
UVPIX,3,True,0.21203674545305803,1374,0.537117903930131,0.29745194763409644,200,0.53,0.43101922707377543,397,0.5541561712846348,0.5372769298000161,63,0.5873015873015873
UVPSX,3,True,0.18682361613641155,1707,0.5459871118922085,0.18012207596200688,236,0.5127118644067796,0.3163113193234439,774,0.5568475452196382,0.47288864806478076,91,0.5604395604395604
UWPSX,1,True,0.3913202202965446,128,0.5625,0.4397272093760715,41,0.5609756097560976,0.3913202202965446,128,0.5625,0.4397272093760715,41,0.5609756097560976
UXPSX,1,True,0.2260833878153247,200,0.57,0.2118936056471965,34,0.5882352941176471,0.2260833878153247,200,0.57,0.2118936056471965,34,0.5882352941176471
WCPIX,3,True,0.14357758566647918,4442,0.5529040972534894,0.05761751494688013,388,0.5489690721649485,0.33628357091722905,671,0.5946348733233979,0.4591687214673858,75,0.56
WCPSX,3,True,0.13198105163632756,4368,0.5480769230769231,0.09155682006276364,390,0.5538461538461539,0.3679990860424397,632,0.5901898734177216,0.5676271798547132,64,0.5625
