ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,abs_full_avg
MGPIX,pair_scan,pair_scan,GDX_up_XLK_down,1,0.2024626331204012,603,0.6053067993366501,0.4257088728685728,75,0.64,0.2024626331204012
MLPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.275937691101375,244,0.5860655737704918,0.28450011842354717,72,0.5555555555555556,0.275937691101375
MLPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2576546692069498,238,0.5756302521008403,0.27986828568406014,72,0.5555555555555556,0.2576546692069498
OEPIX,long,sparse,ext_vix_chg_ge5,1,2.164058383389845,990,0.7555555555555555,2.1027748331979916,89,0.7640449438202247,2.164058383389845
OEPSX,inverse,sparse,ext_vix_chg_ge5,1,2.154299956414191,990,0.7555555555555555,2.0997177345278972,89,0.7752808988764045,2.154299956414191
OTPIX,pair_scan,pair_scan,GLD_up_XLF_down,1,0.2319218108228169,599,0.6160267111853088,0.2226793917396103,100,0.57,0.2319218108228169
OTPSX,pair_scan,pair_scan,GLD_up_XLF_down,1,0.2279526104100526,599,0.6126878130217028,0.21850495518401267,100,0.57,0.2279526104100526
PHPIX,pair_scan,pair_scan,GDX_up_QQQ_down,1,0.24910651221690355,436,0.5504587155963303,0.49762736791479967,80,0.6,0.24910651221690355
PHPSX,pair_scan,pair_scan,QQQ_down_XLF_up,2,0.29162320654764456,168,0.6071428571428571,0.6504799015560212,67,0.6865671641791045,0.29162320654764456
PMPIX,pair_scan,pair_scan,JNK_down_SPY_up,2,0.34521871581722724,225,0.5688888888888889,0.43717968280440395,41,0.6585365853658537,0.34521871581722724
PMPSX,pair_scan,pair_scan,QQQ_up_SLV_down,2,0.35068626466083297,1051,0.5528068506184586,0.20870998062155058,75,0.6,0.35068626466083297
REPIX,pair_scan,pair_scan,GDX_up_XLV_down,1,0.3242834279669484,382,0.5732984293193717,0.4180427309556019,96,0.6354166666666666,0.3242834279669484
REPSX,pair_scan,pair_scan,GDX_up_XLF_down,1,0.36019881245599983,494,0.5647773279352226,0.42870386057476617,93,0.5698924731182796,0.36019881245599983
SGPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2814282142922791,331,0.5800604229607251,0.320882963358872,72,0.625,0.2814282142922791
