ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,abs_full_avg,pass,tokens
SMPSX,,condition_expansion,combo_SPY_down__ext_usd_gold_ratio_le-1,1,1.363618840256718,123,0.6666666666666666,1.1894478034441167,42,0.6428571428571429,1.363618840256718,,
SNPIX,,condition_expansion,combo_XLF_big_up__ext_tnx_chgbp_down,1,0.2438432284074638,218,0.555045871559633,0.5232691111955513,39,0.6410256410256411,0.2438432284074638,,
SNPSX,pair_scan,pair_scan,XLK_up_XLC_up,1,0.2850814861900453,157,0.554140127388535,0.3446864129992599,55,0.5818181818181818,0.2850814861900453,,"{'XLK', 'XLC'}"
SPPIX,long,triple_scan,EEM_up_up_down_GLD_IWM,1,0.3315668152982321,290,0.5758620689655173,0.9217735695831965,34,0.5882352941176471,0.3315668152982321,True,
SPPSX,inverse,triple_scan,EEM_up_up_down_GLD_IWM,1,0.32853163889864,290,0.5655172413793104,0.9332267900854604,34,0.5588235294117647,0.32853163889864,True,
SRPIX,long,sparse,ext_vix_chg_le-5,1,1.1799002117073651,863,0.7508690614136733,0.5525462109700733,78,0.6538461538461539,1.1799002117073651,,set()
SRPSX,inverse,gap_extra,ext_vix_chg_le-5,1,1.167755210663142,863,0.746234067207416,0.5222465172164538,78,0.6538461538461539,1.167755210663142,,set()
SVPIX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.4218092371479148,152,0.5657894736842105,0.5772300138882558,39,0.6410256410256411,0.4218092371479148,,
SVPSX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.4180549824449813,152,0.5592105263157895,0.573298191790139,39,0.6153846153846154,0.4180549824449813,,
TEPIX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.9159013690573952,151,0.6754966887417219,0.8700871873171752,39,0.6153846153846154,0.9159013690573952,,
TEPSX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.8520188363003972,157,0.6687898089171974,0.8632064449556693,39,0.6153846153846154,0.8520188363003972,,
UAPIX,,condition_expansion,combo_SPY_down__ext_usd_gold_ratio_le-1,1,1.0028427965627276,141,0.624113475177305,0.8908076153688705,42,0.5714285714285714,1.0028427965627276,,
UAPSX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.7820974356050887,180,0.6111111111111112,1.1522220285577736,39,0.6410256410256411,0.7820974356050887,,
UBPIX,ultra_long,triple_scan,GDX_up_down_down_QQQ_XLV,1,1.107986844563412,161,0.6149068322981367,1.775995822277723,39,0.7692307692307693,1.107986844563412,True,
UBPSX,inverse,triple_scan,GDX_up_down_down_QQQ_XLV,1,1.0185743465084731,178,0.6123595505617978,1.7708725703188004,39,0.7692307692307693,1.0185743465084731,True,
UDPIX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.7632836712465578,195,0.6666666666666666,0.8369795848199768,48,0.6875,0.7632836712465578,,
