ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,tokens
TEPSX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2034967995852639,753,0.6254980079681275,0.2227572506800891,72,0.6388888888888888,"{'GDX', 'EEM'}"
UAPIX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2182924208561606,698,0.6031518624641834,0.4579337474323289,72,0.625,"{'GDX', 'EEM'}"
UAPSX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2147768456235644,698,0.6017191977077364,0.4536337102028367,72,0.625,"{'GDX', 'EEM'}"
UBPIX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2941297963836177,402,0.5771144278606966,0.5575248190823505,72,0.6527777777777778,"{'GDX', 'EEM'}"
UBPSX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.289819141109837,402,0.5746268656716418,0.5533225687067372,72,0.6527777777777778,"{'GDX', 'EEM'}"
UMPIX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2187074035372728,714,0.5980392156862745,0.3469058708585289,72,0.625,"{'GDX', 'EEM'}"
UMPSX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2140533911003145,714,0.5952380952380952,0.3422201703247789,72,0.625,"{'GDX', 'EEM'}"
UOPIX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2868859593223994,753,0.6387782204515272,0.3098829764395585,72,0.6666666666666666,"{'GDX', 'EEM'}"
UOPSX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2832032337287787,753,0.6387782204515272,0.307222344556836,72,0.6666666666666666,"{'GDX', 'EEM'}"
BITIX,pair_scan,pair_scan,EEM_up_GLD_up,1,0.6809775080867108,123,0.6341463414634146,0.6773470154284889,122,0.6311475409836066,"{'EEM', 'GLD'}"
SMPIX,pair_scan,pair_scan,EEM_up_GLD_down,1,0.2648383017873277,626,0.5543130990415336,0.6468807777297274,76,0.6447368421052632,"{'EEM', 'GLD'}"
TEPIX,pair_scan,pair_scan,EEM_up_GLD_down,1,0.2000087158038813,1031,0.5518913676042677,0.3305413866320118,76,0.6710526315789473,"{'EEM', 'GLD'}"
CYPIX,pair_scan,pair_scan,EEM_down_GLD_up,1,0.2873519595127476,469,0.6012793176972282,0.4028862852564611,83,0.6385542168674698,"{'EEM', 'GLD'}"
CYPSX,pair_scan,pair_scan,EEM_down_GLD_up,1,0.2706395476397975,442,0.5995475113122172,0.3981308144507559,83,0.6265060240963856,"{'EEM', 'GLD'}"
IDPIX,pair_scan,pair_scan,EEM_down_GLD_up,1,0.2189284105435131,522,0.5727969348659003,0.3506176996341871,83,0.6024096385542169,"{'EEM', 'GLD'}"
IDPSX,pair_scan,pair_scan,EEM_down_GLD_up,1,0.2073561779050981,522,0.5689655172413793,0.3449524674998735,83,0.6024096385542169,"{'EEM', 'GLD'}"
TEPIX,pair_scan,pair_scan,EEM_down_GLD_up,1,0.2735916937316234,657,0.5859969558599696,0.3539341127130062,83,0.6024096385542169,"{'EEM', 'GLD'}"
