ticker,fund_name,fund_theme,condition,horizon,full_avg,full_hit,full_trades,test_avg,test_hit,full_tstat,full_std,full_min,test_std,poor_train,high_std,poor_mono,direction_conflict,btc_weak_link,threshold_suboptimal,category,reason
INPIX,Internet UltraSector ProFund， Investor Class,互联网,combo_XLK_big_up__ext_vix_5dchg_down,1,0.3004697513157296,0.582716049382716,405,0.9760608751502382,0.7076923076923077,2.61948832819986,2.30840391118494,-9.958275382475671,1.5954059118883446,0,0,1,0,0,0,acceptable,各项指标可接受
INPIX,Internet UltraSector ProFund， Investor Class,互联网,GLD_down_TIP_up_XLF_up,2,0.3550132807846072,0.6079545454545454,352,0.6341481397241051,0.6046511627906976,4.565402186165557,1.4589381782701565,-6.34090125481559,1.5413057748069872,0,0,0,0,0,0,acceptable,各项指标可接受
INPSX,Internet UltraSector ProFund， Service Class,互联网,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.6186312317989489,0.6135265700483091,207,0.6873573602618122,0.574468085106383,3.0607548468122268,2.907960269203347,-8.31858407079646,3.52409131963079,0,0,0,0,0,0,acceptable,各项指标可接受
INPSX,Internet UltraSector ProFund， Service Class,互联网,FXY_up_IWM_up_TIP_up,1,0.3171934012222867,0.6077922077922078,385,0.4062982567583763,0.6086956521739131,2.6673971865951085,2.333279792444704,-9.9660832172491,1.5930370574481476,0,0,0,0,0,0,acceptable,各项指标可接受
INPSX,Internet UltraSector ProFund， Service Class,互联网,GLD_up_LQD_down_XLK_down,3,0.3090443859864727,0.6298701298701299,308,0.434870572205199,0.627906976744186,3.4076850647064343,1.591610392193555,-6.296643100709903,1.3766067053608388,0,0,0,0,0,0,acceptable,各项指标可接受
LGPIX,Large Cap Growth ProFund Investor,成长,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.4525320198282627,0.6632124352331606,193,0.5220552663904051,0.64,3.463093408219586,1.8153641839331236,-6.12297414704615,2.228565044738132,0,0,0,0,0,0,acceptable,各项指标可接受
LGPSX,Large Cap Growth ProFund Service,成长,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.4481961876690473,0.6632124352331606,193,0.5162568231335469,0.64,3.4305087690124845,1.815048685991134,-6.0893943822912,2.22766366909136,0,0,0,0,0,0,acceptable,各项指标可接受
LVPIX,Large Cap Value ProFund Investor,价值,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.4451196335495102,0.6344086021505376,186,0.3861065340849544,0.66,3.599440143416039,1.686546295358776,-6.59452335528755,1.565775738455838,0,0,0,0,0,0,acceptable,各项指标可接受
LVPSX,Large Cap Value ProFund Service,价值,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.4386915466404039,0.6352941176470588,170,0.3810326181666535,0.66,3.3762431981044774,1.694142760572363,-6.591067749570061,1.563784453261272,0,0,0,0,0,0,acceptable,各项指标可接受
MDPIX,Mid-Cap ProFund， Investor Class,中盘,GDX_up_SPY_down_XLF_down,1,0.2931349460820169,0.5928753180661578,393,0.5774339628416361,0.6833333333333333,3.6663017807810734,1.5850233386609918,-7.14557460439081,1.5740117904620323,0,0,0,0,0,0,acceptable,各项指标可接受
MDPSX,Mid-Cap ProFund， Service Class,中盘,GDX_up_IWM_down_XLF_down,1,0.2805766926817632,0.5891472868217055,387,0.5764150046266961,0.6666666666666666,3.3553229913971,1.6450259051035934,-7.14057752492111,1.5509228893996232,0,0,0,0,0,0,acceptable,各项指标可接受
MGPIX,Mid-Cap Growth ProFund， Investor Class,中盘,GDX_up_XLF_down_XLK_down,1,0.2758953851666209,0.64,400,0.7139340254663638,0.7551020408163265,3.82096534336738,1.44411351778175,-4.62607571411255,1.7823988900863197,0,0,0,0,0,0,acceptable,各项指标可接受
MGPSX,Mid-Cap Growth ProFund， Service Class,中盘,GDX_up_XLF_down_XLK_down,1,0.2712729139570114,0.635,400,0.7078731296997836,0.7551020408163265,3.75729741956161,1.4439789224280395,-4.62853552571924,1.7811950179852274,0,0,0,0,0,0,acceptable,各项指标可接受
MLPIX,Mid-Cap Value ProFund， Investor Class,中盘,GDX_up_SPY_down_XLF_down,1,0.4202120982857217,0.6018518518518519,216,0.5588510809221118,0.65,3.97350525517203,1.5542527191141855,-4.47719880207835,1.522652544381884,0,0,0,0,0,0,acceptable,各项指标可接受
MLPSX,Mid-Cap Value ProFund， Service Class,中盘,GDX_up_SPY_down_XLF_down,1,0.4170282475380811,0.6027397260273972,219,0.5552566473939436,0.65,3.99389235378126,1.545223040451815,-4.4749238016071,1.5228749133405215,0,0,0,0,0,0,acceptable,各项指标可接受
OEPIX,Oil & Gas Equipment & Services UltraSector ProFund - Investor Class,能源,combo_XLU_big_down__ext_vix_close_up,3,0.3174785620044879,0.549718574108818,533,0.6103478563733435,0.6538461538461539,3.230952796532973,2.2685449861713085,-6.511173788488167,1.6078196234595563,1,0,1,0,0,0,excusable,全历史偏弱但2025后表现强
