ticker,direction,streak_days,n,avg,hit,std
FYAIX,up,2,1347,0.03488196512803088,0.5070527097253155,0.501467629484198
FYAIX,down,3,479,0.0008686363846887612,0.4801670146137787,0.7321160117683255
FYAIX,up,3,683,0.00924601269555612,0.49487554904831627,0.49437204467435686
FYAIX,down,4,205,0.05236823297696731,0.44878048780487806,0.8526377624379344
FYAIX,up,4,338,0.015126506492239698,0.5029585798816568,0.5014060873172087
FYAIX,down,5,95,0.09364501572049169,0.49473684210526314,0.8342978027340175
FYAIX,up,5,170,0.007731077605709112,0.4647058823529412,0.532181018623558
FYASX,down,1,2434,-0.01825414998180707,0.46877567789646674,0.553119672052999
FYASX,up,1,2658,0.02995703985866078,0.49924755455229497,0.5013587020638669
FYASX,down,2,1106,-0.019728365182707517,0.48282097649186256,0.6298121531140733
FYASX,up,2,1326,0.03955751495811474,0.5037707390648567,0.49372203991079916
FYASX,down,3,481,0.00039028573884958143,0.48232848232848236,0.7186641732423341
FYASX,up,3,668,0.012257513828555453,0.49251497005988026,0.4919444787876153
FYASX,down,4,204,0.04946191971754281,0.45588235294117646,0.8328352287625077
FYASX,up,4,329,0.020526480665977637,0.5045592705167173,0.5075285946094334
FYASX,down,5,92,0.09533700935524195,0.5108695652173914,0.8128776497533092
FYASX,up,5,166,0.011300043688237714,0.45180722891566266,0.5356109367283783
GVPIX,down,1,2783,0.02682816104612335,0.5163492633848366,1.1836956772388558
GVPIX,up,1,2989,-0.008732356983379744,0.4710605553696889,1.2227607936726088
GVPIX,down,2,1211,0.07403289388349797,0.5350949628406276,1.1964889312323637
GVPIX,up,2,1407,-0.03841363498811207,0.4513148542999289,1.2496678403891508
GVPIX,down,3,514,0.1675116788006061,0.5603112840466926,1.197236448050062
GVPIX,up,3,635,-0.03548234920790808,0.45354330708661417,1.2965511065064372
GVPIX,down,4,201,0.2515497363725618,0.582089552238806,1.2045981581247203
GVPIX,up,4,288,-0.07280481214087882,0.4340277777777778,1.3253589254774825
GVPIX,down,5,73,0.33465385846592804,0.6164383561643836,1.1812754643307657
GVPIX,up,5,125,-0.09705152502244765,0.44,1.2935624672146278
GVPSX,down,1,2804,0.02473815885334595,0.514265335235378,1.1839806924238652
GVPSX,up,1,2989,-0.01180760141009606,0.47407159585145536,1.224161460940176
GVPSX,down,2,1230,0.07876713034489721,0.5365853658536586,1.1877623879526567
GVPSX,up,2,1416,-0.04748051808879285,0.4505649717514124,1.2504558981791292
GVPSX,down,3,514,0.1743692891605714,0.566147859922179,1.1918163232665215
GVPSX,up,3,638,-0.0558501322862578,0.445141065830721,1.3022842925782605
GVPSX,down,4,197,0.26303158430314577,0.5786802030456852,1.207384610027343
GVPSX,up,4,284,-0.10454522294054132,0.4225352112676056,1.344888578409309
GVPSX,down,5,71,0.34128686621626664,0.5915492957746479,1.1938243828283832
GVPSX,up,5,120,-0.0816943593132536,0.45,1.2982436264006285
HCPIX,down,1,2901,0.09455810727989884,0.5229231299551879,1.7171809549813972
HCPIX,up,1,3273,0.010941760769008688,0.4900702719217843,1.3827240716419695
HCPIX,down,2,1243,0.1358728381735218,0.5374094931617055,1.831930655169503
HCPIX,up,2,1604,0.002083459431066802,0.49438902743142144,1.3038469336309402
HCPIX,down,3,527,0.18002167572864014,0.5502846299810247,2.048795359115085
HCPIX,up,3,793,-0.03591658953221209,0.4728877679697352,1.2800999725979212
HCPIX,down,4,215,0.2501820667434207,0.5674418604651162,2.494042525256796
HCPIX,up,4,375,-0.12828986684649757,0.43733333333333335,1.2115249724037356
HCPIX,down,5,85,0.3744740339725687,0.5882352941176471,3.2028926658449897
HCPIX,up,5,164,-0.018527828204964077,0.4634146341463415,1.147311523842388
HCPSX,down,1,2872,0.08179865561329605,0.5191504178272981,1.7224624877216146
HCPSX,up,1,3221,0.006593220986792295,0.48618441477801927,1.3775966585749508
HCPSX,down,2,1249,0.12435168105101804,0.5324259407526021,1.832395019375997
HCPSX,up,2,1566,-0.002176901691231,0.4904214559386973,1.2968382813917299
HCPSX,down,3,537,0.1784759160837756,0.5456238361266295,2.0180157226182995
