ticker,condition,horizon,source,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,pass
LU0780247804,GDX_big_down,1,single_scan,-0.08895298610612523,171,0.45614035087719296,-0.1382538195681373,95,0.47368421052631576,False
LU0815945463,GDX_big_down,1,single_scan,-0.06958311775730408,22,0.22727272727272727,,0,,False
LU0823394779,GDX_big_down,1,single_scan,-0.03368462020836235,72,0.5416666666666666,0.10380233945254,4,0.75,False
LU0827879924,GDX_big_down,1,single_scan,-0.06622164733639706,162,0.5123456790123457,-0.0483079082289995,96,0.53125,False
LU0828813369,GDX_big_down,1,single_scan,-0.2339799175857194,117,0.5128205128205128,-0.12252057452008273,84,0.5119047619047619,False
LU0834154790,GDX_big_down,1,single_scan,0.3403144768745549,41,0.7073170731707317,,0,,False
LU0868754200,GDX_big_down,1,single_scan,0.07824791514804062,140,0.5428571428571428,0.06877858095040665,66,0.5151515151515151,False
LU0882574303,GDX_big_down,1,single_scan,-0.01663745031489093,43,0.3953488372093023,,0,,False
LU0882574568,GDX_big_down,1,single_scan,-0.012824455006299012,204,0.47549019607843135,-0.0032061560445502593,102,0.5,False
LU0927891449,GDX_big_down,1,single_scan,-0.002626793675436449,194,0.5670103092783505,0.006463515323931537,101,0.6039603960396039,False
LU0940328577,GDX_big_down,1,single_scan,-0.3569894315872301,53,0.3584905660377358,-0.3672213047751673,51,0.37254901960784315,False
LU0947747993,GDX_big_down,1,single_scan,-0.014995327670696062,132,0.4393939393939394,0.010510434182057136,42,0.5,False
LU0956908312,GDX_big_down,1,single_scan,-0.23874964322567854,200,0.39,-0.15518956681253426,106,0.42452830188679247,False
LU0966834136,GDX_big_down,1,single_scan,-0.14943022218835197,191,0.450261780104712,-0.1029903106990977,100,0.47,False
LU0971096721,GDX_big_down,1,single_scan,-0.025357957573620204,197,0.4873096446700508,0.022629722959317693,95,0.5578947368421052,False
LU0972617095,GDX_big_down,1,single_scan,-0.013443643022231553,193,0.41968911917098445,-0.0004466620915001972,101,0.42574257425742573,False
LU0983164343,GDX_big_down,1,single_scan,-0.03500310841505789,38,0.4473684210526316,,0,,False
LU1008671684,GDX_big_down,1,single_scan,-0.014475926650415232,91,0.46153846153846156,-0.03501507992625001,15,0.4666666666666667,False
LU1088697633,GDX_big_down,1,single_scan,-0.012462418412250001,42,0.5476190476190477,-0.66820811029787,1,0.0,False
LU1116320737,GDX_big_down,1,single_scan,-0.07078064695326336,136,0.4632352941176471,-0.025995531310842056,68,0.5,False
LU1181866309,GDX_big_down,1,single_scan,0.03018468620236955,109,0.5137614678899083,-0.021120103930491362,48,0.5208333333333334,False
LU1195516338,GDX_big_down,1,single_scan,-0.19655652984182895,199,0.4120603015075377,-0.17866087749857032,106,0.4339622641509434,False
LU1244140163,GDX_big_down,1,single_scan,0.07974291313855199,170,0.5235294117647059,0.26568132662872473,86,0.5465116279069767,False
LU1251621188,GDX_big_down,1,single_scan,-0.015997719014192217,170,0.4588235294117647,-0.0004649023845191411,102,0.46078431372549017,False
LU1292650279,GDX_big_down,1,single_scan,0.07249498391206118,17,0.8235294117647058,,0,,False
LU1347437607,GDX_big_down,1,single_scan,0.006215003353986322,147,0.5170068027210885,0.11035132970994391,53,0.6037735849056604,False
LU1378862947,GDX_big_down,1,single_scan,0.05185838401287609,34,0.5882352941176471,-0.55317103332617,2,0.0,False
LU1378997875,GDX_big_down,1,single_scan,0.10196923875034,8,0.625,-0.70304212272587,1,0.0,False
LU1481181599,GDX_big_down,1,single_scan,0.0011279128868430792,114,0.47368421052631576,0.2573647171211953,19,0.7368421052631579,False
LU1531595301,GDX_big_down,1,single_scan,0.018015648194759634,27,0.48148148148148145,0.025098352926658008,5,0.4,False
LU1542977076,GDX_big_down,1,single_scan,0.004157032363943329,153,0.48366013071895425,-0.026709439347958837,68,0.5,False
LU1560650563,GDX_big_down,1,single_scan,-0.0438066277711292,174,0.5172413793103449,0.007431143780899004,72,0.5833333333333334,False
LU1564329388,GDX_big_down,1,single_scan,-0.0537140415814823,170,0.40588235294117647,-0.027210019265317537,101,0.4158415841584158,False
LU1586378470,GDX_big_down,1,single_scan,-0.032103267188423636,196,0.45918367346938777,-0.013499509496256388,106,0.5,False
LU1691799990,GDX_big_down,1,single_scan,-0.002290907064408481,106,0.5188679245283019,0.36544788821253726,11,0.7272727272727273,False
LU1698898050,GDX_big_down,1,single_scan,-0.4619884140804546,194,0.422680412371134,-0.4186411658513853,102,0.46078431372549017,False
LU1711970662,GDX_big_down,1,single_scan,-0.1192091915890884,118,0.4661016949152542,-0.27601377191194937,16,0.5625,False
LU1775952176,GDX_big_down,1,single_scan,-0.16683081891949772,196,0.4336734693877551,-0.06841463542671608,102,0.47058823529411764,False
LU1775982595,GDX_big_down,1,single_scan,-0.16915580456004006,196,0.4336734693877551,-0.07102875198415187,102,0.47058823529411764,False
LU1793345262,GDX_big_down,1,single_scan,0.07469878537817078,120,0.5166666666666667,0.5423352462850353,28,0.6428571428571429,False
LU1797663298,GDX_big_down,1,single_scan,-0.06008198414174211,109,0.42201834862385323,-0.03620307948869416,12,0.5833333333333334,False
LU1808465147,GDX_big_down,1,single_scan,0.07748194465285828,123,0.5447154471544715,0.10853644357386287,73,0.547945205479452,False
LU1846577242,GDX_big_down,1,single_scan,-0.26734976330361965,180,0.45555555555555555,-0.3140430869153685,95,0.47368421052631576,False
LU1868836914,GDX_big_down,1,single_scan,0.11996057526350598,62,0.5161290322580645,,0,,False
LU1892523231,GDX_big_down,1,single_scan,0.004940023067566707,139,0.5107913669064749,0.2061261484323798,52,0.6153846153846154,False
LU1939255532,GDX_big_down,1,single_scan,0.02789290358294561,130,0.5384615384615384,0.09772889915523177,47,0.574468085106383,False
LU2000523741,GDX_big_down,1,single_scan,-0.025209417933947213,68,0.5588235294117647,-0.07756033619975604,28,0.5357142857142857,False
LU2000525019,GDX_big_down,1,single_scan,0.009086251420453046,69,0.5507246376811594,-0.019653027836987393,23,0.5652173913043478,False
LU2000525100,GDX_big_down,1,single_scan,-0.013050403995864641,56,0.5357142857142857,0.007710486402700772,26,0.5769230769230769,False
LU2078916223,GDX_big_down,1,single_scan,-0.12563410961223367,210,0.4142857142857143,-0.13688184371340323,108,0.4074074074074074,False
LU2089283258,GDX_big_down,1,single_scan,-0.1598119221559187,189,0.4497354497354497,-0.13375006619365082,101,0.46534653465346537,False
LU2092176275,GDX_big_down,1,single_scan,0.07193935621270074,120,0.5166666666666667,0.5393570578829003,28,0.6428571428571429,False
LU2110297061,GDX_big_down,1,single_scan,-0.1094255241794174,196,0.4387755102040816,-0.08973748389114074,102,0.4411764705882353,False
LU2167913123,GDX_big_down,1,single_scan,-0.052529283094022015,180,0.5,0.042124488826746756,94,0.574468085106383,False
LU2286300806,GDX_big_down,1,single_scan,-0.22053651465735047,178,0.4943820224719101,-0.22667281887277482,102,0.46078431372549017,False
LU2298064838,GDX_big_down,1,single_scan,-0.0347135137386294,84,0.5476190476190477,-0.01575855609987665,12,0.6666666666666666,False
LU2329614577,GDX_big_down,1,single_scan,-0.3357253266369187,189,0.30687830687830686,-0.2243225179965058,102,0.38235294117647056,False
LU2382294648,GDX_big_down,1,single_scan,-0.14131693114052776,164,0.4634146341463415,-0.050164065316318576,70,0.4857142857142857,False
LU2402382688,GDX_big_down,1,single_scan,-0.1983028890856147,156,0.4166666666666667,-0.1476095653399064,106,0.44339622641509435,False
LU2425919680,GDX_big_down,1,single_scan,-0.008968449725549355,149,0.4966442953020134,0.017517550494698084,47,0.5531914893617021,False
LU2490080954,GDX_big_down,1,single_scan,-0.09938058959155292,120,0.4666666666666667,-0.03411748145881882,76,0.5526315789473685,False
GB00B12GL767,GDX_big_down,2,single_scan,-1.041082351814005,431,0.20417633410672853,-1.2629070993630915,102,0.19607843137254902,False
GB00B1RXYT55,GDX_big_down,2,single_scan,-0.17276923592113555,372,0.4381720430107527,-0.06707847887362507,103,0.5145631067961165,False
GB00B3B9VC56,GDX_big_down,2,single_scan,-0.1553831428150242,353,0.4447592067988669,-0.04885970407125914,103,0.4854368932038835,False
GB00B4X7J424,GDX_big_down,2,single_scan,-0.19649540979297314,315,0.42857142857142855,-0.16435265739548763,102,0.45098039215686275,False
GB00BNG2HX24,GDX_big_down,2,single_scan,-0.062448922112778846,250,0.464,0.014019539784344745,96,0.5625,False
GB00BYW6DZ91,GDX_big_down,2,single_scan,-0.14647010242915517,320,0.446875,-0.06462093271920737,103,0.49514563106796117,False
IE0000931182,GDX_big_down,2,single_scan,-0.2076948215499364,299,0.411371237458194,-0.1657659651690814,97,0.422680412371134,False
IE0004897173,GDX_big_down,2,single_scan,-0.12188270261157079,321,0.43613707165109034,-0.08458420424971828,97,0.4742268041237113,False
IE0007357332,GDX_big_down,2,single_scan,-0.016119179309765728,313,0.476038338658147,0.020779427859123786,91,0.5384615384615384,False
IE000U13NVM5,GDX_big_down,2,single_scan,-0.1795011555383852,136,0.4411764705882353,-0.13553288251287265,97,0.5154639175257731,False
IE000XOE1GE5,GDX_big_down,2,single_scan,0.043258066060132445,139,0.5899280575539568,0.023887604035394184,73,0.5753424657534246,False
IE0030016244,GDX_big_down,2,single_scan,-0.14938191308117968,333,0.4114114114114114,-0.09574233770397371,97,0.41237113402061853,False
IE0030772275,GDX_big_down,2,single_scan,0.02065771631458447,261,0.5325670498084292,0.19354913873993362,91,0.6153846153846154,False
IE0031385887,GDX_big_down,2,single_scan,-0.09459827084132436,278,0.46402877697841727,0.05583912010679023,67,0.5074626865671642,False
IE0031386414,GDX_big_down,2,single_scan,-0.02809447091933719,110,0.5181818181818182,-0.02913218019981412,96,0.5208333333333334,False
IE0033591854,GDX_big_down,2,single_scan,-0.014029590918014912,404,0.5321782178217822,0.01649496422945089,78,0.6153846153846154,False
IE00B0169N27,GDX_big_down,2,single_scan,-0.16111081585223552,283,0.40636042402826855,-0.1758668876833973,92,0.40217391304347827,False
IE00B0XXHG05,GDX_big_down,2,single_scan,-0.11136537613245974,289,0.4429065743944637,-0.1273069353633652,96,0.46875,False
IE00B193ML14,GDX_big_down,2,single_scan,-0.006315668185217184,71,0.5070422535211268,,0,,False
IE00B19Z4J92,GDX_big_down,2,single_scan,-0.024157005021020736,341,0.4604105571847507,0.00777020168587586,107,0.5514018691588785,False
IE00B1BXHP82,GDX_big_down,2,single_scan,0.008542374113397462,157,0.5477707006369427,0.016236703468047724,76,0.5394736842105263,False
IE00B296YP53,GDX_big_down,2,single_scan,-0.029953417309420215,308,0.4772727272727273,-0.0028525485601855563,96,0.5208333333333334,False
IE00B296YR77,GDX_big_down,2,single_scan,-0.041318131512836705,314,0.4713375796178344,-0.0032431759314378097,96,0.5104166666666666,False
IE00B29SXL02,GDX_big_down,2,single_scan,-0.18487040052533887,330,0.39090909090909093,-0.06306390256806148,92,0.45652173913043476,False
IE00B2PC0153,GDX_big_down,2,single_scan,0.06280740943267218,428,0.5560747663551402,0.10583104661111746,101,0.5742574257425742,False
IE00B2PC0609,GDX_big_down,2,single_scan,0.03653321968483816,353,0.5269121813031161,0.10156834108680933,99,0.5252525252525253,False
IE00B2Q91T05,GDX_big_down,2,single_scan,0.17780069225755477,234,0.5641025641025641,0.13792098680386267,41,0.5853658536585366,False
