ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
PHPIX,4,condition_expansion,combo_QQQ_down__ext_usd_gold_ratio_down,2,0.20466323761889987,953,0.5960125918153201,0.2994845138165488,86,0.5697674418604651
PHPSX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.34354189868400403,462,0.5800865800865801,0.7102204140851796,41,0.6097560975609756
PMPIX,1,condition_expansion,combo_ext_sect_rotation_up__self_big_down,1,0.5729399031604261,521,0.5527831094049904,0.3892610369323368,42,0.6190476190476191
PMPIX,2,triple_scan,SPY_down_up_up_TIP_UUP,1,0.6501757745620047,291,0.5567010309278351,1.5109579725791322,32,0.78125
PMPIX,3,condition_expansion,combo_QQQ_up__self_big_down,1,0.5138544430656278,419,0.5632458233890215,0.44295791961075204,33,0.6060606060606061
PMPSX,1,condition_expansion,combo_ext_sect_rotation_up__self_big_down,1,0.5827151396860079,525,0.5542857142857143,0.38540613692417336,42,0.6190476190476191
PMPSX,2,condition_expansion,combo_ext_tnx_chgbp_down__self_big_down,1,0.916582744096313,181,0.56353591160221,0.4182883658242796,33,0.7272727272727273
PMPSX,3,condition_expansion,combo_QQQ_up__self_big_down,1,0.5853883224217808,431,0.568445475638051,0.4382648539852233,33,0.6060606060606061
REPIX,1,condition_expansion,combo_XLF_big_down__ext_tnx_yield_ge1,1,0.4895611858251699,696,0.5689655172413793,0.39377136784710365,44,0.7272727272727273
REPIX,2,condition_expansion,combo_XLF_big_down__ext_tnx_yield_up,1,0.4308889530399748,753,0.5670650730411687,0.39377136784710365,44,0.7272727272727273
REPIX,3,condition_expansion,combo_XLF_big_down__ext_vix_close_up,1,0.4308889530399748,753,0.5670650730411687,0.39377136784710365,44,0.7272727272727273
REPSX,1,condition_expansion,combo_XLF_big_down__ext_tnx_yield_ge1,1,0.49033578288370294,696,0.5704022988505747,0.38938811234976467,44,0.7272727272727273
REPSX,2,condition_expansion,combo_XLF_big_down__ext_tnx_yield_up,1,0.43320423773833594,753,0.5670650730411687,0.38938811234976467,44,0.7272727272727273
REPSX,3,condition_expansion,combo_XLF_big_down__ext_vix_close_up,1,0.43320423773833594,753,0.5670650730411687,0.38938811234976467,44,0.7272727272727273
RRPIX,1,condition_expansion,combo_XLV_big_down__ext_sect_rotation_up,1,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758
RRPSX,1,condition_expansion,combo_XLV_big_down__ext_sect_rotation_up,1,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758
SGPIX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.33284217252921583,326,0.5736196319018405,0.5860335267258415,60,0.6833333333333333
SGPIX,2,triple_scan,GDX_up_down_down_XLF_XLK,1,0.31455275145286543,359,0.584958217270195,0.693245960729271,49,0.7142857142857143
SGPIX,3,triple_scan,GDX_up_down_down_SPY_XLK,1,0.29956090404011926,391,0.5882352941176471,0.5651907534381521,63,0.6666666666666666
SGPSX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.3083561336376136,390,0.5846153846153846,0.5621973528759366,63,0.6666666666666666
SGPSX,2,triple_scan,GDX_up_down_down_XLF_XLK,1,0.31468710082843837,354,0.5706214689265536,0.6905776906170212,49,0.7142857142857143
SGPSX,3,triple_scan,GDX_up_down_up_SPY_TIP,1,0.35619716259773715,273,0.6007326007326007,0.5265948831511782,39,0.717948717948718
SLPIX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.32072459112924045,366,0.5956284153005464,0.7132760435953878,49,0.673469387755102
