ETF,Fund,N,Same,Lead1,DirAgree
BND,CYPSX,2509,0.1853,-0.0005,0.4988
BND,ENPIX,2509,-0.0167,-0.0377,0.4821
BND,ENPSX,2509,-0.016,-0.0377,0.4821
BND,ETHFX,356,0.144,-0.079,0.4761
BND,FDPIX,2509,0.3122,0.0814,0.4545
BND,FDPSX,2509,0.3216,0.0876,0.4518
BND,FNPIX,2509,0.0788,-0.0299,0.5024
BND,FNPSX,2509,0.0789,-0.0298,0.5024
BND,FYAIX,2483,0.4836,-0.0115,0.4589
BND,FYASX,2483,0.4902,-0.0122,0.4573
BND,GVPIX,2477,0.7723,0.0648,0.4669
BND,GVPSX,2477,0.7722,0.0647,0.4677
BND,HCPIX,2509,0.1405,0.0167,0.5199
BND,HCPSX,2509,0.1405,0.0171,0.5187
BND,IDPIX,2509,0.1194,-0.0136,0.5128
BND,IDPSX,2509,0.1196,-0.0133,0.5104
BND,INPIX,2509,0.1586,-0.0055,0.506
BND,INPSX,2509,0.157,-0.0045,0.5052
BND,LGPIX,2509,0.1545,-0.0169,0.5052
BND,LGPSX,2509,0.1547,-0.0162,0.5032
BND,LVPIX,2509,0.1201,-0.0115,0.504
BND,LVPSX,2509,0.1201,-0.0108,0.5044
BND,MDPIX,2509,0.1416,-0.0102,0.5056
BND,MDPSX,2509,0.1414,-0.0094,0.5064
BND,MGPIX,2509,0.1559,-0.0033,0.5124
BND,MGPSX,2509,0.1535,-0.0021,0.512
BND,MLPIX,2509,0.1186,-0.0111,0.506
BND,MLPSX,2509,0.1186,-0.0103,0.5052
BND,MPIXX,2509,,,0.0
BND,MPSXX,2509,,,0.0
BND,OEPIX,2509,-0.0209,-0.0416,0.4713
BND,OEPSX,2509,-0.0208,-0.0411,0.4693
BND,OTPIX,2509,0.1543,-0.0158,0.506
BND,OTPSX,2509,0.1552,-0.0161,0.5052
BND,PHPIX,2509,0.1363,0.0119,0.5028
BND,PHPSX,2509,0.1366,0.0126,0.5028
BND,PMPIX,2509,0.2615,0.1011,0.4793
BND,PMPSX,2509,0.2615,0.1013,0.4789
BND,RDPIX,2509,-0.3019,-0.1028,0.4609
BND,RDPSX,2509,-0.3063,-0.1007,0.4605
BND,REPIX,2509,0.3034,-0.0093,0.5088
BND,REPSX,2509,0.3027,-0.009,0.5084
BND,RRPIX,2477,-0.7661,-0.0693,0.5004
BND,RRPSX,2477,-0.7715,-0.0653,0.4992
BND,RTPIX,2477,-0.7747,-0.0612,0.4697
BND,RTPSX,2477,-0.8129,-0.0563,0.4701
BND,SGPIX,2509,0.1383,0.0018,0.5004
BND,SGPSX,2509,0.1384,0.0026,0.5012
BND,SHPIX,2509,-0.1299,0.0001,0.4677
BND,SHPSX,2509,-0.1291,-0.0007,0.4681
BND,SLPIX,2509,0.1432,-0.0098,0.498
BND,SLPSX,2509,0.1435,-0.0099,0.4984
BND,SMPIX,2509,0.103,-0.014,0.4932
BND,SMPSX,2509,0.1028,-0.0131,0.4916
BND,SNPIX,2509,0.016,0.0348,0.4888
BND,SNPSX,2509,0.0165,0.0355,0.4856
BND,SOPIX,2509,-0.1498,0.0091,0.4486
BND,SOPSX,2509,-0.1502,0.0098,0.447
BND,SPPIX,2509,-0.2557,-0.1079,0.4888
BND,SPPSX,2509,-0.2577,-0.1066,0.49
BND,SRPIX,2509,-0.301,0.0048,0.4438
BND,SRPSX,2509,-0.3011,0.0046,0.4418
BND,SVPIX,2509,0.1144,-0.0106,0.4968
BND,SVPSX,2509,0.1138,-0.0101,0.4976
BND,TEPIX,2509,0.1403,-0.0221,0.5084
BND,TEPSX,2509,0.1396,-0.0212,0.5088
BND,UAPIX,2509,0.143,-0.0081,0.4992
BND,UAPSX,2509,0.1431,-0.0079,0.4992
BND,UBPIX,2509,0.1385,-0.0445,0.4753
BND,UBPSX,2509,0.1388,-0.0444,0.4757
BND,UCPIX,2509,-0.1428,0.0074,0.4717
BND,UCPSX,2509,-0.1428,0.0074,0.4713
BND,UDPIX,2509,0.1273,-0.0146,0.51
BND,UDPSX,2509,0.1276,-0.0142,0.5092
BND,UEPIX,2509,0.1273,0.0124,0.4852
BND,UEPSX,2509,0.1307,0.0108,0.4848
BND,UFPIX,2509,-0.1419,0.0412,0.4916
BND,UFPSX,2509,-0.1419,0.042,0.4916
BND,UGPIX,2509,0.0783,0.0196,0.5056
BND,UGPSX,2509,0.0783,0.0201,0.504
BND,UHPIX,2509,-0.0778,-0.0216,0.4589
BND,UHPSX,2509,-0.0782,-0.0216,0.4577
BND,UIPIX,2509,-0.1408,0.0088,0.4645
BND,UIPSX,2509,-0.1403,0.0092,0.4633
BND,UJPIX,2509,0.0077,0.0032,0.5132
BND,UJPSX,2509,0.0078,0.0041,0.5124
BND,UKPIX,2509,-0.0059,-0.0003,0.4533
BND,UKPSX,2509,-0.0067,0.0019,0.4537
BND,ULPIX,2509,0.1485,-0.0108,0.512
BND,ULPSX,2509,0.1487,-0.0097,0.5124
BND,UMPIX,2509,0.1433,-0.0105,0.506
BND,UMPSX,2509,0.1436,-0.0101,0.5064
BND,UNPIX,2509,0.2023,0.0099,0.4936
BND,UNPSX,2509,0.2028,0.0095,0.4928
BND,UOPIX,2509,0.1537,-0.0108,0.514
BND,UOPSX,2509,0.1535,-0.0095,0.514
BND,URPIX,2509,-0.1481,0.0147,0.453
BND,URPSX,2509,-0.1472,0.016,0.4549
BND,USPIX,2509,-0.1537,0.0138,0.4561
BND,USPSX,2509,-0.154,0.014,0.4569
BND,UTPIX,2509,0.2486,0.0269,0.4976
BND,UTPSX,2509,0.2488,0.028,0.4996
BND,UUPIX,2509,0.1214,0.0124,0.5052
BND,UUPSX,2509,0.1213,0.0129,0.5052
BND,UVPIX,2509,-0.1202,-0.0155,0.4697
BND,UVPSX,2509,-0.1204,-0.0146,0.4685
BND,UWPIX,2509,-0.126,0.0127,0.4557
BND,UWPSX,2509,-0.1263,0.0134,0.4561
BND,UXPIX,2509,-0.202,-0.0122,0.4689
BND,UXPSX,2509,-0.2023,-0.0108,0.4697
BND,WCPIX,2509,0.1596,-0.0166,0.502
BND,WCPSX,2509,0.1596,-0.0166,0.5008
CEW,AFBIX,2483,-0.4743,0.026,0.4686
CEW,AFBSX,2483,-0.2898,0.0171,0.4666
CEW,BIPIX,2509,0.3119,0.0195,0.4928
CEW,BIPSX,2509,0.3014,0.0431,0.492
CEW,BITIX,1028,-0.2129,0.0261,0.5112
CEW,BKPIX,2509,0.3441,-0.0336,0.494
CEW,BKPSX,2509,0.3445,-0.0337,0.494
CEW,BLPIX,2509,0.4441,-0.0247,0.4944
CEW,BLPSX,2509,0.4432,-0.0223,0.4916
CEW,BMPIX,2509,0.4897,-0.0155,0.5076
CEW,BMPSX,2509,0.4895,-0.0154,0.508
CEW,BRPIX,2509,-0.4345,0.0324,0.4681
CEW,BRPSX,2509,-0.4363,0.0335,0.4669
CEW,BTCFX,1254,0.2396,-0.0109,0.4796
CEW,CNPIX,2509,0.3956,-0.0243,0.4964
CEW,CNPSX,2509,0.3958,-0.024,0.4972
CEW,CYPIX,2509,0.392,-0.0156,0.5032
CEW,CYPSX,2509,0.3912,-0.015,0.5024
CEW,ENPIX,2509,0.3197,-0.0343,0.4892
CEW,ENPSX,2509,0.3202,-0.0344,0.4884
CEW,ETHFX,356,0.279,-0.0251,0.493
CEW,FDPIX,2509,0.5168,0.0647,0.4514
CEW,FDPSX,2509,0.5325,0.0677,0.451
CEW,FNPIX,2509,0.399,-0.0223,0.504
CEW,FNPSX,2509,0.3988,-0.021,0.5028
CEW,FYAIX,2483,0.4575,-0.0156,0.471
CEW,FYASX,2483,0.4691,-0.0182,0.4686
CEW,GVPIX,2477,0.0341,0.0171,0.4903
CEW,GVPSX,2477,0.0346,0.017,0.4891
CEW,HCPIX,2509,0.3322,-0.0265,0.4817
CEW,HCPSX,2509,0.3309,-0.0264,0.4817
CEW,IDPIX,2509,0.4281,-0.026,0.4976
CEW,IDPSX,2509,0.4277,-0.0249,0.4944
CEW,INPIX,2509,0.3627,-0.0154,0.5016
CEW,INPSX,2509,0.3595,-0.0129,0.5024
CEW,LGPIX,2509,0.4148,-0.0412,0.4888
CEW,LGPSX,2509,0.4157,-0.0412,0.4868
CEW,LVPIX,2509,0.4378,-0.0146,0.5
CEW,LVPSX,2509,0.4368,-0.0139,0.4996
CEW,MDPIX,2509,0.4513,-0.0321,0.5096
CEW,MDPSX,2509,0.4504,-0.0319,0.5088
CEW,MGPIX,2509,0.4262,-0.0269,0.508
CEW,MGPSX,2509,0.4157,-0.0231,0.5084
CEW,MLPIX,2509,0.4327,-0.022,0.5136
CEW,MLPSX,2509,0.431,-0.0218,0.5124
CEW,MPIXX,2509,,,0.0
CEW,MPSXX,2509,,,0.0
CEW,OEPIX,2509,0.3451,-0.0338,0.486
CEW,OEPSX,2509,0.3452,-0.0335,0.4848
CEW,OTPIX,2509,0.401,-0.0395,0.4996
CEW,OTPSX,2509,0.4011,-0.0389,0.4972
CEW,PHPIX,2509,0.34,-0.02,0.4984
CEW,PHPSX,2509,0.3396,-0.02,0.498
CEW,PMPIX,2509,0.3803,0.0034,0.4793
CEW,PMPSX,2509,0.3803,0.0034,0.4797
CEW,RDPIX,2509,-0.512,-0.0687,0.4741
CEW,RDPSX,2509,-0.5178,-0.071,0.4717
