ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,density_full,density_frozen
SVPSX,3,triple_scan,GDX_up_down_down_SPY_XLV,1,0.2562965354931538,383,0.5587467362924282,0.8926230314505204,44,0.7045454545454546,200,40
TEPIX,1,triple_scan,GLD_up_down_down_XLF_XLK,1,0.6243476849869445,345,0.6347826086956522,1.0585603874910872,54,0.6666666666666666,200,40
TEPIX,2,triple_scan,SLV_down_down_down_XLK_XLV,1,0.2784221855409397,729,0.5541838134430727,0.3625497081839114,42,0.6666666666666666,200,40
TEPIX,3,pair_scan,SLV_down_TIP_up,1,0.2700638449952217,920,0.5793478260869566,0.2571415545809079,77,0.5844155844155844,200,40
TEPSX,1,triple_scan,GLD_up_down_down_XLF_XLK,1,0.6281432275861261,345,0.6289855072463768,1.0526141997863265,54,0.6666666666666666,200,40
TEPSX,2,pair_scan,SLV_down_TIP_up,1,0.27628503821284045,920,0.5782608695652174,0.25719607843015785,77,0.5844155844155844,200,40
TEPSX,3,triple_scan,FXY_up_up_down_TIP_XLE,1,0.3168771833819378,774,0.6007751937984496,0.8337166142704256,49,0.7551020408163265,200,40
UAPIX,1,triple_scan,EEM_down_down_down_XLE_XLF,1,0.3708032870475718,1177,0.5548003398470688,0.9555622904991586,43,0.6046511627906976,200,40
UAPIX,2,condition_expansion,combo_XLV_down__ext_sect_rotation_down,3,0.23416715162323357,973,0.5755395683453237,0.5776290490419626,68,0.6176470588235294,200,40
UAPIX,3,condition_expansion,combo_QQQ_down__self_big_down,3,0.29076525249385193,1054,0.5834914611005693,0.686845296362061,64,0.71875,200,40
UAPSX,1,triple_scan,EEM_down_down_down_XLE_XLF,1,0.36934303069731544,1178,0.5551782682512734,0.9524714564139201,43,0.6046511627906976,200,40
UAPSX,2,condition_expansion,combo_XLV_down__ext_sect_rotation_down,3,0.23029313466162699,973,0.5745118191161357,0.5735417918139015,68,0.6176470588235294,200,40
UAPSX,3,triple_scan,FXY_up_up_up_GDX_XLU,1,0.3447842963124349,409,0.5672371638141809,0.36142097839912846,79,0.620253164556962,200,40
UBPIX,1,pair_scan,GDX_up_XLC_down,1,0.8248435331433064,302,0.5860927152317881,0.7526424316831574,93,0.5913978494623656,200,40
UBPIX,2,condition_expansion,combo_QQQ_big_down__ext_tnx_yield_ge1,5,0.3110771079878283,594,0.5909090909090909,0.5724191362104858,68,0.7058823529411765,200,40
UBPIX,3,condition_expansion,combo_XLE_down__ext_vix_5dchg_ge10,1,0.3699706760259944,532,0.5977443609022557,0.5049917717937538,43,0.6046511627906976,200,40
